# 2026-08-02T20:10:34-04:00 A100 measured T(N)  AMORTCSV,file,variant,N,total_ms
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,diaq_fp32,100,19.816
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,diaq_fp32,1000,128.845
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,diaq_fp32,10000,1212.071
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,didx,1,711.310
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,didx,10,717.321
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,didx,100,772.240
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,didx,1000,1335.380
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,didx,10000,6957.654
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,cusparse,1,1611.154
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,cusparse,10,1616.728
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,cusparse,100,1623.059
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,cusparse,1000,1703.240
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,cusparse,10000,2536.188
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,diaq_fp32,1,114.908
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,diaq_fp32,10,237.673
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,diaq_fp32,100,706.864
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,diaq_fp32,1000,5388.329
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/H8c_16_4.txt,diaq_fp32,10000,52267.719
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx,1,4.249
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx,10,4.242
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx,100,4.758
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx,1000,10.110
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx,10000,63.571
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx_sym,1,2.721
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx_sym,10,2.780
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx_sym,100,3.278
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx_sym,1000,8.706
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,didx_sym,10000,63.182
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,cusparse,1,16.373
